title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
plasticChair,plasticChair,CC0,ThreeD Garden,#threed-link,1,1,1,44.42,82,58.39,false,0,0,false
poolTable,poolTable,CC0,ThreeD Garden,#threed-link,1,1,1,255.95,82.35,139.25,false,0,0,false
radiator,radiator,CC0,ThreeD Garden,#threed-link,1,1,1,140.34,73.07,24.69,false,0,0,false
radiator1,radiator1,CC0,ThreeD Garden,#threed-link,1,1,1,216.32,83.36,14.3,false,0,0,false
radiator2,radiator2,CC0,ThreeD Garden,#threed-link,1,1,1,132.64,45.65,41.41,false,0,0,false
relaxChair,relaxChair,CC0,ThreeD Garden,#threed-link,1,1,1,66.05,84.71,190.03,false,0,0,false
shelves,shelves,CC0,ThreeD Garden,#threed-link,1,1,1,82.98,81.9,39.37,false,0,0,false
shower,shower,CC0,ThreeD Garden,#threed-link,1,1,1,20.84,114.28,53.78,false,0,0,false
showerDoor,showerDoor,CC0,ThreeD Garden,#threed-link,1,1,1,90.14,229.91,22.5,false,0,0,false
silla2,silla2,CC0,ThreeD Garden,#threed-link,1,1,1,32.63,78.83,31.14,false,0,0,false
sillaBlanca,sillaBlanca,CC0,ThreeD Garden,#threed-link,1,1,1,50.45,85,58.38,false,0,0,false
sofa,sofa,CC0,ThreeD Garden,#threed-link,1,1,1,248.76,78,189.56,false,0,0,false
tableWithTablecloth,tableWithTablecloth,CC0,ThreeD Garden,#threed-link,1,1,1,129.23,120.58,130.53,false,0,0,false
technicalTable1,technicalTable1,CC0,ThreeD Garden,#threed-link,1,1,1,214.66,95.08,118.84,false,0,0,false
technicalTable2,technicalTable2,CC0,ThreeD Garden,#threed-link,1,1,1,136.64,101.34,171.37,false,0,0,false
televisionCabinet,televisionCabinet,CC0,ThreeD Garden,#threed-link,1,1,1,135.36,160.02,69.27,false,0,0,false
toiletPaperDispenser,toiletPaperDispenser,CC0,ThreeD Garden,#threed-link,1,1,1,15.56,18.45,10.41,false,0,0,false
toiletsUnit,toiletsUnit,CC0,ThreeD Garden,#threed-link,1,1,1,35.33,77.23,69.2,false,0,0,false
towel2,towel2,CC0,ThreeD Garden,#threed-link,1,1,1,21.79,66.85,13.69,false,0,0,false
towel3,towel3,CC0,ThreeD Garden,#threed-link,1,1,1,59.6,47.84,8.12,false,0,0,false
umbrella,umbrella,CC0,ThreeD Garden,#threed-link,1,1,1,223.11,199.8,222.67,false,0,0,false
verticalShelves,verticalShelves,CC0,ThreeD Garden,#threed-link,1,1,1,44.48,196.12,39,false,0,0,false
wardrobeWithSlidingDoors,wardrobeWithSlidingDoors,CC0,ThreeD Garden,#threed-link,1,1,1,151.9,236.38,64.1,false,0,0,false
washbasin,washbasin,CC0,ThreeD Garden,#threed-link,1,1,1,56.35,93.07,45.71,false,0,0,false
whiteBoard,whiteBoard,CC0,ThreeD Garden,#threed-link,1,1,1,124.65,129,55.1,false,0,0,false
abdominalBench,abdominalBench,CC BY 4.0,muhtesemozcinar,#threed-link,1,1,1,67.19,86.94,192.87,false,0,0,false
armchair1,armchair1,CC BY 4.0,aymanslman,#threed-link,1,1,1,100.49,79.98,88.17,false,0,0,false
bathroomRadiator,bathroomRadiator,CC BY 4.0,nikitron,#threed-link,1,1,1,48.39,110.75,19.93,false,0,0,false
bath_jay_hardy,bath_jay_hardy,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,180.06,65.06,70.08,false,0,0,false
