title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
fancyWindow,Free Art License 1.3,Pencilart,#threed-link,1,1,1,3.67,7.7,0.33,true,,
fence,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.73,1.04,0.07,,,
fenceGrid,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,104.99,5,,,
fenceGridGate,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,85,109.99,5,,,
fencePicket,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,85,125,6,,,
fencePost,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.75,6.35,0.76,,,
fencePost2,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.96,5.58,0.95,,,
fence2,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.73,1,0.07,,,
firePlace,Free Art License 1.3,Don Ravey,#threed-link,1,1,1,112,83.79,38,,,
flatRoofSkylightBubble,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,100,45,100,true,,
flowers,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,39.26,93.84,29.91,,,
fountain,Free Art License 1.3,Sparkywalk,#threed-link,1,1,1,51.37,46.54,51.37,,,
fridge,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,2,7.28,2.42,,,
fridge2,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,57,113.21,60.03,,,
gardenSofa,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,2.22,1.81,0.75,,,
gardenUmbrella,Free Art License 1.3,Pencilart,#threed-link,1,1,1,21.91,21.33,18.94,,,
gate,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,191,86,11.5,,,
gate2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,98.05,234.62,1,,,
gasBottle,Free Art License 1.3,Sophie,#threed-link,1,1,1,31,63.14,31,,,
glassDoorCabinet,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,3.8,3.2,2.1,true,,
